date,min,max,median,q1,q3,stdev,count
2021-06-04T00:00:00.000Z,7,30,14,11,18,4.46,161
2021-06-05T00:00:00.000Z,6,74,10,9,15,6.881,159
2021-06-06T00:00:00.000Z,12,32,20,17,22,3.721,201
2021-06-07T00:00:00.000Z,12,33,19,17,22,4.011,322
2021-06-08T00:00:00.000Z,2,40,8,6,15,8.412,243
2021-06-09T00:00:00.000Z,0,20,9,6,13,4.245,267
2021-06-10T00:00:00.000Z,4,29,9,7,17,6.421,178
2021-06-11T00:00:00.000Z,4,26,14,8,18,5.206,182
2021-06-12T00:00:00.000Z,0,17,4,3,7,4.041,162
2021-06-13T00:00:00.000Z,0,22,4,2,6,4.781,162
2021-06-14T00:00:00.000Z,0,31,10,6,20,8.051,199
2021-06-15T00:00:00.000Z,0,69,3,2,5,4.935,207
2021-06-16T00:00:00.000Z,1,10,4,3,5,1.784,173
2021-06-17T00:00:00.000Z,5,31,12,8,18,5.641,243
2021-06-18T00:00:00.000Z,19,51,33,27,42,8.377,249
2021-06-19T00:00:00.000Z,10,46,27,20,32,7.655,282
2021-06-20T00:00:00.000Z,5,48,19.5,13,25,9.503,302
2021-06-21T00:00:00.000Z,3,19,8,7,11,3.263,278
2021-06-22T00:00:00.000Z,1,20,8,6,10,3.2,231
2021-06-23T00:00:00.000Z,0,27,4,3,11,4.549,295
2021-06-24T00:00:00.000Z,2,20,5,4,7,3.728,265
2021-06-25T00:00:00.000Z,6,51,15,11,20,7.613,301
2021-06-26T00:00:00.000Z,2,30,14,5,19,7.023,310
2021-06-27T00:00:00.000Z,3,34,8,6,12,4.049,317
2021-06-28T00:00:00.000Z,0,48,4,2,13,6.444,291
2021-06-29T00:00:00.000Z,0,15,6,3,9,3.686,324
2021-06-30T00:00:00.000Z,6,36,14,13,16,3.08,302
2021-07-01T00:00:00.000Z,0,56,8,4,25,10.796,266
2021-07-02T00:00:00.000Z,4,31,9,7,14,6.667,255
2021-07-03T00:00:00.000Z,11,42,19,17,22,5.402,333
2021-07-04T00:00:00.000Z,9,57,23,16,32,9.445,322
2021-07-05T00:00:00.000Z,8,245,16,13,27,16.899,264
2021-07-06T00:00:00.000Z,0,39,10.5,6,24,10.168,310
2021-07-07T00:00:00.000Z,2,33,6,5,10,7.371,273
2021-07-08T00:00:00.000Z,4,48,8,7,10,4.175,288
2021-07-09T00:00:00.000Z,2,14,8,6,10,2.386,330
2021-07-10T00:00:00.000Z,3,22,12,8,14,4.006,334
2021-07-11T00:00:00.000Z,2,168,10,6,17,15.529,358
2021-07-12T00:00:00.000Z,6,131,12,10,16,8.732,271
2021-07-13T00:00:00.000Z,10,45,18,15,31,9.684,241
2021-07-14T00:00:00.000Z,20,70,39,32.5,46,9.801,261
2021-07-15T00:00:00.000Z,17,49,30,27,34,5.419,320
2021-07-16T00:00:00.000Z,18,47,29,26,33,5.444,278
2021-07-17T00:00:00.000Z,1,194,12,8,26,15.147,327
2021-07-18T00:00:00.000Z,2,21,5,4,7,2.878,281
